label,languageCode
Kontrolesom,af
تحقق جمعي,ar
Nəzarət cəmi,az
Контролна сума,bg
Checksum,ca
Kontrolní součet,cs
Kontrolsum,da
Prüfsumme,de
Checksum,en
Suma de verificación,es
Kontrollsumma,et
جمعآزما,fa
Tarkistussumma,fi
Somme de contrôle,fr
סיכום ביקורת,he
Kontrolni zbroj,hr
Ellenőrző összeg,hu
Prófsumma,is
Checksum,it
チェックサム,ja
체크섬,ko
Kontrolsumma,lv
Controlegetal,nl
Sjekksum,nb
Suma kontrolna,pl
Soma de verificação,pt
Sumă de control,ro
Контрольная сумма,ru
Checksum,en-simple
Kontrolný súčet,sk
Kontrollsumma,sv
ผลรวมตรวจสอบ,th
Контрольна сума,uk
Giá trị tổng kiểm,vi
核對和,yue
校验和,zh
Checksum,nan
